分组,常量名/数据项,当前值/地址规则,源码表达式,读取类型/布局,用途/读取基准,当前使用状态,源码文件,源码行,更新后值/是否未变,新版本/验证说明
01 Game.dll 全局 RVA,DlgGatheringPointerRva,0xD63E28,0xD63E28,uint64 原始指针值,采集窗口对象地址槽，允许为 0；非零后读取窗口 flags 和两条进度条。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,118,0xD63E28 | 变更 -0x10,直接确认：旧 0xD63E38 → 新 0xD63E28。
08 采集窗口与 Gauge,DlgGatheringFlagsOffset,0x28,0x28,uint64,采集窗口 flags，使用最低位判断可见。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,119,0x28 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
08 采集窗口与 Gauge,DlgGatheringVisibleMask,0x1,0x01,掩码,采集窗口可见位 0x01。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,120,0x1 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
08 采集窗口与 Gauge,DlgGatheringSuccessGaugeOffset,0x4E8,0x4E8,ptr64,DlgGathering 内成功进度条指针，须解引用后读取 Gauge 字段。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,121,0x4E8 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
08 采集窗口与 Gauge,DlgGatheringFailureGaugeOffset,0x500,0x500,ptr64,DlgGathering 内失败进度条指针，须解引用后读取 Gauge 字段。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,122,0x500 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
08 采集窗口与 Gauge,GatherGaugeMaximumOffset,0x300,0x300,float64,Gauge 最大值。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,123,0x300 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
08 采集窗口与 Gauge,GatherGaugeDisplayedOffset,0x308,0x308,float64,Gauge 当前显示值。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,124,0x308 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
08 采集窗口与 Gauge,GatherGaugeTargetOffset,0x310,0x310,float64,Gauge 目标值。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,125,0x310 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorCurrentSummonedPetServerObjectIdOffset,0xFA0,0xFA0,uint32,角色当前召唤宠物 ServerObjectId；定位本地宠物，随后通过实体树读取宠物状态。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,126,0xFA0 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
09 本地异常状态数组,ActorAbnormalStatusBeginOffset,0xF18,0xF18,ptr64，可空,本地 Actor 异常状态数组 begin；单条步长 0x12。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,127,0xF18 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
09 本地异常状态数组,ActorAbnormalStatusEndOffset,0xF20,0xF20,ptr64，可空,本地 Actor 异常状态数组 end；以 (end - begin) / 0x12 计算条数。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,128,0xF20 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
09 本地异常状态数组,ActorAbnormalCategory2CountOffset,0xF38,0xF38,uint32,异常状态 bucket 2 原始计数；不单独等同于有害/物理异常。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,129,0xF38 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorMaxHpOffset,0x11A0,0x11A0,uint32,Actor 最大 HP；目标、怪物、尸体、宠物等共用。当前本地 HP 读取以全局 HP RVA 为必需字段。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,130,0x11A0 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorCurrentHpOffset,0x11A4,0x11A4,uint32,Actor 当前 HP；目标生死、战斗进展、怪物、尸体及宠物状态。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,131,0x11A4 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorLootableFlagOffset,0x11E0,0x11E0,uint32,尸体可拾取标记；用于优先拾取可拾取尸体。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,132,0x11E0 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorGatherObjectType,7,7,枚举值,Actor 对象类型 7 表示采集物。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,133,7 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
09 本地异常状态数组,AbnormalStatusEntrySize,0x12,0x12,字节步长,本地与队伍异常状态 entry 大小均为 0x12；entry 五个字段见补充表。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,134,0x12 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
09 本地异常状态数组,MaxActorAbnormalStatusEntries,512,512,读取上限,本地异常条数保护上限 512；这是程序限制，不是已经确认的游戏数组容量。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,135,512 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberPartySlotOffset,0x0,0x00,uint32,原始队伍字段候选；快照保留为 `PartySlot`，不能直接当 UI 槽位或 F2-F6 顺序。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,136,0x0 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberServerObjectIdOffset,0x4,0x04,uint32,队员 server object id；队员身份、队长/本地角色匹配、召唤物归属都依赖它。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,137,0x4 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberMaxHpOffset,0x8,0x08,uint32,队员最大 HP；用于队伍快照、保护目标选择、队友生死判断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,138,0x8 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberCurrentHpOffset,0xC,0x0C,uint32,队员当前 HP；用于队友血量阈值、死亡判断和队长保护逻辑。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,139,0xC | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberMaxMpOffset,0x10,0x10,uint32,队员最大 MP；保留在队伍快照中。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,140,0x10 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberCurrentMpOffset,0x14,0x14,uint32,队员当前 MP；保留在队伍快照中。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,141,0x14 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberMaxFlightTimeOffset,0x18,0x18,uint32,队员最大飞行时间，毫秒；队伍状态诊断字段。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,142,0x18 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberCurrentFlightTimeOffset,0x1C,0x1C,uint32,队员剩余飞行时间，毫秒；队伍状态诊断字段。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,143,0x1C | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberAreaField0Offset,0x20,0x20,uint32,区域/指针类原始字段候选；当前只保留诊断，不作为地图判断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,144,0x20 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberAreaField1Offset,0x24,0x24,uint32,区域/指针类原始字段候选；当前只保留诊断，不作为地图判断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,145,0x24 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberCachedXOffset,0x28,0x28,float32,队员缓存坐标 X；队友不在 live actor 可见范围时作为诊断位置。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,146,0x28 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberCachedYOffset,0x2C,0x2C,float32,队员缓存坐标 Y。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,147,0x2C | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberCachedZOffset,0x30,0x30,float32,队员缓存坐标 Z。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,148,0x30 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberClassIdOffset,0x34,0x34,uint8,队员职业 id；映射到 `AionClassId` 和职业名。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,149,0x34 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberLevelOffset,0x36,0x36,uint8,队员等级。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,150,0x36 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberDataFlagsOffset,0x37,0x37,uint8,队员数据 flags；用于诊断和 `HasAbnormalBlock`，不作为异常数组读取硬门槛。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,151,0x37 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberFlightAreaFlagOffset,0x38,0x38,uint8,可飞区域/飞行许可候选；保留在快照中。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,152,0x38 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberFlightFlagsOffset,0x39,0x39,uint8,飞行状态 flags 候选；保留在快照中。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,153,0x39 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberRuntimeStateOffset,0x3A,0x3A,uint8,运行时状态字段；含义未完全定型，保留诊断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,154,0x3A | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberNameOffset,0x3B,0x3B,UTF-16，最多 26 字符,队伍成员记录内的名字字符区。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,155,0x3B | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberControlStatusMaskOffset,0x6F,0x6F,uint64,控制/异常状态掩码；队伍快照保留给保护逻辑和诊断消费。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,156,0x6F | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberHasAbnormalBlockFlag,0x8,0x08,掩码,DataFlags 的 0x08 位；快照保存此信号，读取异常数组不以此位作为硬门槛。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,157,0x8 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberAbnormalCountOffset,0x77,0x77,int16,队员异常状态原始数量；读取时按 `PartyMemberMaxAbnormalCount` 截断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,158,0x77 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberAbnormalEntriesOffset,0x79,0x79,内嵌 entry 数组,成员异常列表起始地址为 member + 0x79，不再解引用；步长 0x12。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,159,0x79 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberUpdateTimeOffset,0x859,0x859,uint32,队员状态更新时间 tick；保留为诊断字段。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,160,0x859 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
10 PartyMemberRecord 队伍成员,PartyMemberMaxAbnormalCount,112,112,读取上限,队伍成员异常条数上限 112。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,161,112 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
11 SkillItem 技能对象,SkillItemSkillIdOffset,0x8,0x08,uint32,校验 runtime item 是否和已学技能树 key 一致。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,163,0x8 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
11 SkillItem 技能对象,SkillItemField0COffset,0xC,0x0C,uint32,runtime 原始字段，保留作诊断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,164,0xC | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
11 SkillItem 技能对象,SkillItemRankValueOffset,0x10,0x10,uint64,runtime rank/类似等级字段，保留作诊断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,165,0x10 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
11 SkillItem 技能对象,SkillItemNameOffset,0x18,0x18,MSVC wstring,技能名；用于 UI 映射、配置技能匹配、日志。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,166,0x18 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
11 SkillItem 技能对象,SkillItemCooldownDurationOffset,0x50,0x50,uint32,技能冷却时长。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,167,0x50 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
11 SkillItem 技能对象,SkillItemCooldownEndTimeOffset,0x54,0x54,uint32,判断技能是否可用，以及维护技能是否释放成功。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,168,0x54 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
11 SkillItem 技能对象,SkillItemToggleStateOffset,0x60,0x60,uint32,toggle 技能状态。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,169,0x60 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
11 SkillItem 技能对象,SkillItemSkillLevelOffset,0x64,0x64,uint32,runtime 技能等级。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,170,0x64 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
11 SkillItem 技能对象,SkillItemStaticFieldD8Offset,0x68,0x68,uint32,runtime/static 信号，用于有用技能过滤和诊断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,171,0x68 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
11 SkillItem 技能对象,SkillItemRuntimeStateOffset,0x6C,0x6C,uint32,runtime 状态信号，用于有用技能过滤和诊断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,172,0x6C | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
11 SkillItem 技能对象,SkillItemSourceFlagsOffset,0x74,0x74,uint32,runtime 来源 flags，用于有用技能过滤和诊断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,173,0x74 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
01 Game.dll 全局 RVA,InventoryManagerGlobalRva,0xD4B010 = SkillManagerGlobalRva,SkillManagerGlobalRva,ptr64,等于 SkillManagerGlobalRva，当前值 0xD4B010。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,175,0xD4B010 = SkillManagerGlobalRva | 变更 -0x10,同 SkillManagerGlobalRva。
12 InventoryManager 背包管理器,InventoryCurrentMoneyOffset,0x770,0x770,uint64,背包管理器内当前金币。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,176,0x770 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
12 InventoryManager 背包管理器,InventoryMoneyInstanceIdOffset,0x778,0x778,uint32,金币对象 instance id，作为读取诊断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,177,0x778 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
12 InventoryManager 背包管理器,InventoryCapacityOffset,0x77C,0x77C,uint32,背包总容量。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,178,0x77C | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
12 InventoryManager 背包管理器,InventoryItemTreeHeaderOffset,0x780,0x780,ptr64,背包物品红黑树 header。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,179,0x780 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
12 InventoryManager 背包管理器,InventoryItemTreeCountOffset,0x788,0x788,uint64,背包物品树节点数量。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,180,0x788 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
12 InventoryManager 背包管理器,InventoryEquipmentIdsOffset,0x790,0x790,uint32[32],已装备物品 InstanceId 数组，逐项步长 4 字节。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,181,0x790 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
12 InventoryManager 背包管理器,InventoryEquipmentIdCount,32,32,数组数量,已装备物品 InstanceId 数组长度 32。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,182,32 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
12 InventoryManager 背包管理器,InventorySlotsPerPage,27,27,布局参数,每页 27 格；此 VMM 文件中只保留常量定义，未引用。,仅保留定义，当前无引用,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,183,27 | 未变（程序侧）,Roadhog 侧策略/上限/环境变量，不是 Game.dll 地址。
12 InventoryManager 背包管理器,InventoryColumnsPerPage,9,9,布局参数,每页 9 列；此 VMM 文件中只保留常量定义，未引用。,仅保留定义，当前无引用,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,184,9 | 未变（程序侧）,Roadhog 侧策略/上限/环境变量，不是 Game.dll 地址。
13 背包物品节点与物品对象,InventoryNodeInstanceIdOffset,0x20,0x20,uint32,背包物品树节点上的 instance id key；用于校验节点和物品对象一致。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,185,0x20 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
13 背包物品节点与物品对象,InventoryNodeItemOffset,0x28,0x28,ptr64,背包物品树节点上的 `InventoryItem*`。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,186,0x28 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
13 背包物品节点与物品对象,InventoryItemInstanceIdOffset,0x8,0x08,uint32,物品 instance id。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,187,0x8 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
13 背包物品节点与物品对象,InventoryItemTemplateIdOffset,0xC,0x0C,uint32,物品 template id。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,188,0xC | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
13 背包物品节点与物品对象,InventoryItemCountOffset,0x10,0x10,uint64,堆叠数量。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,189,0x10 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
13 背包物品节点与物品对象,InventoryItemNameOffset,0x18,0x18,MSVC wstring,物品名 MSVC 宽字符串。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,190,0x18 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
13 背包物品节点与物品对象,InventoryItemTypeOffset,0x60,0x60,uint32,物品类型，用于装备、魔石、烙印等分类。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,191,0x60 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
13 背包物品节点与物品对象,InventoryItemEquipmentMaskOffset,0x74,0x74,uint32,装备类别掩码。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,192,0x74 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
13 背包物品节点与物品对象,InventoryItemVendorSellUnitPriceOffset,0x80,0x80,uint64,当前 NPC 杂货商单件收购价。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,193,0x80 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
13 背包物品节点与物品对象,InventoryItemSlotOffset,0x4F6,0x4F6,int16,物品背包 slot，按有符号 16 位读取。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,194,0x4F6 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
01 Game.dll 全局 RVA,ItemStaticIndexRva,0xD75418,0xD75418,内嵌索引头,GameBase + RVA 就是索引头地址；+ 4 读数量，+ 0x10 读 entries 指针。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,195,0xD75418 | 变更 -0x10,高置信直接确认：旧 0xD75428 → 新 0xD75418。
01 Game.dll 全局 RVA,StaticResolverChunkListRva,0xD4E4F0,0xD4E4F0,ptr64 数组基址,GameBase + RVA + chunkIndex * 8 直接读取压缩块指针。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,196,0xD4E4F0 | 变更 -0x10,直接确认：旧 0xD4E500 → 新 0xD4E4F0。
14 物品静态索引与压缩块,ItemStaticRecordIdOffset,0x0,0x000,uint32,解压后静态物品记录的模板 ID，用来校验记录与目标物品一致。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,197,0x0 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
