分组,常量名/数据项,当前值/地址规则,源码表达式,读取类型/布局,用途/读取基准,当前使用状态,源码文件,源码行,更新后值/是否未变,新版本/验证说明
10 PartyMemberRecord 队伍成员,PartyMemberNameOffset,0x3B,0x3B,UTF-16，最多 26 字符,队伍成员记录内的名字字符区。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,155,,
10 PartyMemberRecord 队伍成员,PartyMemberControlStatusMaskOffset,0x6F,0x6F,uint64,控制/异常状态掩码；队伍快照保留给保护逻辑和诊断消费。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,156,,
10 PartyMemberRecord 队伍成员,PartyMemberHasAbnormalBlockFlag,0x8,0x08,掩码,DataFlags 的 0x08 位；快照保存此信号，读取异常数组不以此位作为硬门槛。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,157,,
10 PartyMemberRecord 队伍成员,PartyMemberAbnormalCountOffset,0x77,0x77,int16,队员异常状态原始数量；读取时按 `PartyMemberMaxAbnormalCount` 截断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,158,,
10 PartyMemberRecord 队伍成员,PartyMemberAbnormalEntriesOffset,0x79,0x79,内嵌 entry 数组,成员异常列表起始地址为 member + 0x79，不再解引用；步长 0x12。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,159,,
10 PartyMemberRecord 队伍成员,PartyMemberUpdateTimeOffset,0x859,0x859,uint32,队员状态更新时间 tick；保留为诊断字段。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,160,,
10 PartyMemberRecord 队伍成员,PartyMemberMaxAbnormalCount,112,112,读取上限,队伍成员异常条数上限 112。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,161,,
11 SkillItem 技能对象,SkillItemSkillIdOffset,0x8,0x08,uint32,校验 runtime item 是否和已学技能树 key 一致。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,163,,
11 SkillItem 技能对象,SkillItemField0COffset,0xC,0x0C,uint32,runtime 原始字段，保留作诊断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,164,,
11 SkillItem 技能对象,SkillItemRankValueOffset,0x10,0x10,uint64,runtime rank/类似等级字段，保留作诊断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,165,,
11 SkillItem 技能对象,SkillItemNameOffset,0x18,0x18,MSVC wstring,技能名；用于 UI 映射、配置技能匹配、日志。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,166,,
11 SkillItem 技能对象,SkillItemCooldownDurationOffset,0x50,0x50,uint32,技能冷却时长。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,167,,
11 SkillItem 技能对象,SkillItemCooldownEndTimeOffset,0x54,0x54,uint32,判断技能是否可用，以及维护技能是否释放成功。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,168,,
11 SkillItem 技能对象,SkillItemToggleStateOffset,0x60,0x60,uint32,toggle 技能状态。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,169,,
11 SkillItem 技能对象,SkillItemSkillLevelOffset,0x64,0x64,uint32,runtime 技能等级。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,170,,
11 SkillItem 技能对象,SkillItemStaticFieldD8Offset,0x68,0x68,uint32,runtime/static 信号，用于有用技能过滤和诊断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,171,,
11 SkillItem 技能对象,SkillItemRuntimeStateOffset,0x6C,0x6C,uint32,runtime 状态信号，用于有用技能过滤和诊断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,172,,
11 SkillItem 技能对象,SkillItemSourceFlagsOffset,0x74,0x74,uint32,runtime 来源 flags，用于有用技能过滤和诊断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,173,,
01 Game.dll 全局 RVA,InventoryManagerGlobalRva,0xD4B020 = SkillManagerGlobalRva,SkillManagerGlobalRva,ptr64,等于 SkillManagerGlobalRva，当前值 0xD4B020。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,175,,
12 InventoryManager 背包管理器,InventoryCurrentMoneyOffset,0x770,0x770,uint64,背包管理器内当前金币。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,176,,
12 InventoryManager 背包管理器,InventoryMoneyInstanceIdOffset,0x778,0x778,uint32,金币对象 instance id，作为读取诊断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,177,,
12 InventoryManager 背包管理器,InventoryCapacityOffset,0x77C,0x77C,uint32,背包总容量。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,178,,
12 InventoryManager 背包管理器,InventoryItemTreeHeaderOffset,0x780,0x780,ptr64,背包物品红黑树 header。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,179,,
12 InventoryManager 背包管理器,InventoryItemTreeCountOffset,0x788,0x788,uint64,背包物品树节点数量。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,180,,
12 InventoryManager 背包管理器,InventoryEquipmentIdsOffset,0x790,0x790,uint32[32],已装备物品 InstanceId 数组，逐项步长 4 字节。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,181,,
12 InventoryManager 背包管理器,InventoryEquipmentIdCount,32,32,数组数量,已装备物品 InstanceId 数组长度 32。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,182,,
12 InventoryManager 背包管理器,InventorySlotsPerPage,27,27,布局参数,每页 27 格；此 VMM 文件中只保留常量定义，未引用。,仅保留定义，当前无引用,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,183,,
12 InventoryManager 背包管理器,InventoryColumnsPerPage,9,9,布局参数,每页 9 列；此 VMM 文件中只保留常量定义，未引用。,仅保留定义，当前无引用,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,184,,
13 背包物品节点与物品对象,InventoryNodeInstanceIdOffset,0x20,0x20,uint32,背包物品树节点上的 instance id key；用于校验节点和物品对象一致。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,185,,
13 背包物品节点与物品对象,InventoryNodeItemOffset,0x28,0x28,ptr64,背包物品树节点上的 `InventoryItem*`。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,186,,
13 背包物品节点与物品对象,InventoryItemInstanceIdOffset,0x8,0x08,uint32,物品 instance id。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,187,,
13 背包物品节点与物品对象,InventoryItemTemplateIdOffset,0xC,0x0C,uint32,物品 template id。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,188,,
13 背包物品节点与物品对象,InventoryItemCountOffset,0x10,0x10,uint64,堆叠数量。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,189,,
13 背包物品节点与物品对象,InventoryItemNameOffset,0x18,0x18,MSVC wstring,物品名 MSVC 宽字符串。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,190,,
13 背包物品节点与物品对象,InventoryItemTypeOffset,0x60,0x60,uint32,物品类型，用于装备、魔石、烙印等分类。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,191,,
13 背包物品节点与物品对象,InventoryItemEquipmentMaskOffset,0x74,0x74,uint32,装备类别掩码。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,192,,
13 背包物品节点与物品对象,InventoryItemVendorSellUnitPriceOffset,0x80,0x80,uint64,当前 NPC 杂货商单件收购价。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,193,,
13 背包物品节点与物品对象,InventoryItemSlotOffset,0x4F6,0x4F6,int16,物品背包 slot，按有符号 16 位读取。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,194,,
01 Game.dll 全局 RVA,ItemStaticIndexRva,0xD75428,0xD75428,内嵌索引头,GameBase + RVA 就是索引头地址；+ 4 读数量，+ 0x10 读 entries 指针。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,195,,
01 Game.dll 全局 RVA,StaticResolverChunkListRva,0xD4E500,0xD4E500,ptr64 数组基址,GameBase + RVA + chunkIndex * 8 直接读取压缩块指针。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,196,,
14 物品静态索引与压缩块,ItemStaticRecordIdOffset,0x0,0x000,uint32,解压后静态物品记录的模板 ID，用来校验记录与目标物品一致。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,197,,
14 物品静态索引与压缩块,ItemStaticRecordQualityRankOffset,0x1E1,0x1E1,uint8,解压后静态物品记录的品质字节；不在 InventoryItem 对象内。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,198,,
14 物品静态索引与压缩块,StaticResolverEntrySize,0x10,0x10,字节步长,静态索引 entry 步长 0x10。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,199,,
14 物品静态索引与压缩块,StaticResolverPackedHandleOffset,0x8,0x08,uint64，取低 32 位,静态索引 entry 中的 packed handle；读取 8 字节后截为 uint32。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,200,,
14 物品静态索引与压缩块,StaticResolverPackedChunkShift,14,14,位移量,packed handle 右移 14 位得到 rawChunkIndex；非零时再减 1，0 保持 0。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,201,,
14 物品静态索引与压缩块,StaticResolverPackedOffsetMask,0x3FFF,0x3FFF,掩码,packed handle & 0x3FFF 得到解压块内记录偏移。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,202,,
14 物品静态索引与压缩块,MaxStaticResolverEntries,2000000,2_000_000,参数/上限,静态索引数量安全上限，防止损坏数据导致超大遍历。,程序参数/读取保护上限,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,203,,
14 物品静态索引与压缩块,MaxStaticChunkCompressedBytes,4194304,4 * 1024 * 1024,参数/上限,单个静态压缩块大小上限。,程序参数/读取保护上限,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,204,,
14 物品静态索引与压缩块,MaxStaticChunkUncompressedBytes,16777216,16 * 1024 * 1024,参数/上限,单个静态解压块大小上限。,程序参数/读取保护上限,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,205,,
01 Game.dll 全局 RVA,DlgInventoryDialog27MethodRva,0x1C66F0,0x1C66F0,代码地址,DialogId 27 方法 RVA；仅在背包对象备用扫描路径和 DEBUG 探针中读取/匹配地址。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,207,,
01 Game.dll 全局 RVA,DlgInventoryDialog28MethodRva,0x1CBFB0,0x1CBFB0,代码地址,DialogId 28 方法 RVA；仅在背包对象备用扫描路径和 DEBUG 探针中读取/匹配地址。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,208,,
01 Game.dll 全局 RVA,DlgInventoryDialogTableRva,0xD639A0,0xD639A0,ptr64 数组基址,通用 UI 对话框指针表；DialogId * 8 为槽偏移。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,209,,
01 Game.dll 全局 RVA,DlgInventoryDialog27PointerRva,0xD63A78 = DlgInventoryDialogTableRva + (27UL * 8UL),DlgInventoryDialogTableRva + (27UL * 8UL),ptr64,UI 表第 27 槽，GameBase + 0xD63A78；背包窗口与待丢弃物品读取入口。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,210,,
01 Game.dll 全局 RVA,DlgInventoryDialog28PointerRva,0xD63A80 = DlgInventoryDialogTableRva + (28UL * 8UL),DlgInventoryDialogTableRva + (28UL * 8UL),ptr64,UI 表第 28 槽，GameBase + 0xD63A80；另一个背包窗口候选。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,211,,
15 背包窗口与对象扫描,DlgInventoryWidgetFlagsOffset,0x28,0x28,uint64,UIWidget flags；背包和丢弃确认框共用最低可见位。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,212,,
15 背包窗口与对象扫描,DlgInventoryVisibleMask,0x1,0x01,掩码,flags & 0x01 非零表示窗口可见。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,213,,
15 背包窗口与对象扫描,DlgInventoryPageDirtyFlagBaseOffset,0x585,0x585,uint8，每页一步,历史页面 dirty 标志 + 0x585 + pageIndex；此文件中仅保留定义，不用于判断窗口开关。,仅保留定义，当前无引用,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,214,,
15 背包窗口与对象扫描,DlgInventoryWindowRectOffset,0x58,0x58,float64[4],DlgInventory 内 Rect 起始；默认 LegacyDialogRect 路径读取 X/Y/宽/高，间隔 8 字节。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,215,,
15 背包窗口与对象扫描,DlgInventoryRootWidgetOffset,0x4D8,0x4D8,ptr64,DlgInventory 内 root widget 指针；RootWidgetRectExperimental 路径使用。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,216,,
16 丢弃确认框,DlgInventoryPendingDestroyItemIdOffset,0x598,0x598,uint32,DialogId 27 背包对象内正在等待丢弃确认的物品 InstanceId；为 0 表示没有待确认物品。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,217,,
16 丢弃确认框,FirstNormalDiscardDialogId,336,336,DialogId,普通丢弃确认框扫描范围起点，包含 336。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,218,,
16 丢弃确认框,LastNormalDiscardDialogId,355,355,DialogId,普通丢弃确认框扫描范围终点，包含 355。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,219,,
16 丢弃确认框,FirstSpecialDiscardDialogId,356,356,DialogId,特殊丢弃确认框扫描范围起点，包含 356。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,220,,
16 丢弃确认框,LastSpecialDiscardDialogId,365,365,DialogId,特殊丢弃确认框扫描范围终点，包含 365。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,221,,
16 丢弃确认框,DiscardMsgBoxTypeOffset,0x4D8,0x4D8,uint32,丢弃确认框类型，用于筛选正确弹窗。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,222,,
16 丢弃确认框,DiscardMsgBoxConfirmActionOffset,0x4DC,0x4DC,uint32,丢弃确认框确认动作 ID。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,223,,
16 丢弃确认框,DiscardMsgBoxCancelActionOffset,0x4E0,0x4E0,uint32,丢弃确认框取消动作 ID。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,224,,
16 丢弃确认框,DiscardMsgBoxItemInstanceIdOffset,0x4E8,0x4E8,uint32,丢弃确认框第一个物品 InstanceId 字段。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,225,,
16 丢弃确认框,DiscardMsgBoxItemInstanceId2Offset,0x508,0x508,uint32,丢弃确认框第二个物品 InstanceId 字段；与待丢弃 ID 一同校验。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,226,,
16 丢弃确认框,NormalDiscardMsgBoxType,2049,2049,枚举值,普通丢弃确认框类型 2049（0x801）。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,227,,
16 丢弃确认框,NormalDiscardConfirmAction,2101,2101,枚举值,普通丢弃确认动作 2101（0x835）。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,228,,
16 丢弃确认框,NormalDiscardCancelAction,2104,2104,枚举值,普通丢弃取消动作 2104（0x838）。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,229,,
16 丢弃确认框,SpecialDiscardMsgBoxType,3,3,枚举值,特殊丢弃确认框类型 3。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,230,,
16 丢弃确认框,SpecialDiscardConfirmAction,2105,2105,枚举值,特殊丢弃确认动作 2105（0x839）。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,231,,
16 丢弃确认框,SpecialDiscardCancelAction,2106,2106,枚举值,特殊丢弃取消动作 2106（0x83A）。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,232,,
15 背包窗口与对象扫描,DlgInventoryVtableBackSlots,256,256,参数/上限,从 `DlgInventory` 方法地址向前扫描 vtable 槽位的最大数量。,程序参数/读取保护上限,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,233,,
15 背包窗口与对象扫描,RootWidgetRectScanBytes,0x800,0x800,参数/上限,root widget 内扫描 Rect 候选的范围。,程序参数/读取保护上限,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,234,,
15 背包窗口与对象扫描,RootWidgetRectScanStep,0x8,0x08,参数/上限,root widget Rect 候选扫描步长。,程序参数/读取保护上限,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,235,,
15 背包窗口与对象扫描,RootWidgetRectOffsetEnvironmentVariable,ROADHOG_INVENTORY_ROOT_WIDGET_RECT_OFFSET,"""ROADHOG_INVENTORY_ROOT_WIDGET_RECT_OFFSET""",环境变量名,ROADHOG_INVENTORY_ROOT_WIDGET_RECT_OFFSET；指定 root widget 内 Rect 起点，未设置时扫描候选。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,236,,
15 背包窗口与对象扫描,InventoryUiMinAllocationSize,0x400,0x400,参数/上限,背包 UI 对象 VAD 扫描的最小 allocation size。,程序参数/读取保护上限,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,237,,
15 背包窗口与对象扫描,InventoryUiMaxAllocationSize,0x3000,0x3000,参数/上限,背包 UI 对象 VAD 扫描的最大 allocation size。,程序参数/读取保护上限,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,238,,
15 背包窗口与对象扫描,InventoryUiVadScanBytes,1073741824,1024UL * 1024UL * 1024UL,参数/上限,背包 UI VAD 扫描范围上限。,程序参数/读取保护上限,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,239,,
15 背包窗口与对象扫描,InventoryUiObjectScanLimit,32,32,参数/上限,背包 UI 对象候选扫描数量上限。,程序参数/读取保护上限,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,240,,
17 内联子偏移、数组布局与动态解析,当前目标 EntityId,GameBase + 0xD6CB1A,GameBase + 0xD6CB1A,uint16,LocalEntityIdRva + 2；没有独立命名常量。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,5653,,
17 内联子偏移、数组布局与动态解析,世界坐标 Y,CEntity + 0x4E8,CEntity + 0x4E8,float32,EntityWorldPositionOffset + 4。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,8746,,
17 内联子偏移、数组布局与动态解析,世界坐标 Z,CEntity + 0x4EC,CEntity + 0x4EC,float32,EntityWorldPositionOffset + 8。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,8747,,
17 内联子偏移、数组布局与动态解析,角色朝向 yaw,CEntity + 0x520,CEntity + 0x520,float32,EntityWorldAnglesOffset + 8；代码直接按角度归一化，不做弧度转换。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,5817,,
17 内联子偏移、数组布局与动态解析,诊断 local 坐标 Y,CEntity + 0x528,CEntity + 0x528,float32,EntityLocalPositionOffset + 4；仅 DEBUG 坐标探针。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,1746,,
17 内联子偏移、数组布局与动态解析,诊断 local 坐标 Z,CEntity + 0x52C,CEntity + 0x52C,float32,EntityLocalPositionOffset + 8；仅 DEBUG 坐标探针。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,1746,,
17 内联子偏移、数组布局与动态解析,采集出生坐标 Y,Actor + 0x1A0,Actor + 0x1A0,float32,ActorGatherSpawnPositionOffset + 4。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,9491,,
17 内联子偏移、数组布局与动态解析,采集出生坐标 Z,Actor + 0x1A4,Actor + 0x1A4,float32,ActorGatherSpawnPositionOffset + 8。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,9491,,
17 内联子偏移、数组布局与动态解析,异常 entry Field00,entry + 0x00,entry + 0x00,uint32,本地/队伍共用，原始诊断字段。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,6028,,
17 内联子偏移、数组布局与动态解析,异常 entry AbnormalId,entry + 0x04,entry + 0x04,uint32,本地/队伍共用，异常状态 ID。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,6029,,
17 内联子偏移、数组布局与动态解析,异常 entry Category,entry + 0x08,entry + 0x08,uint32,本地/队伍共用，原始 bucket/category，不能直接等同 Buff/Debuff。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,6030,,
17 内联子偏移、数组布局与动态解析,异常 entry TimeOrSource,entry + 0x0C,entry + 0x0C,uint32,本地/队伍共用，原始时间/来源字段。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,6031,,
17 内联子偏移、数组布局与动态解析,异常 entry LevelOrStack,entry + 0x10,entry + 0x10,uint16,本地/队伍共用，等级/层数原始值。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,6032,,
17 内联子偏移、数组布局与动态解析,MSVC wstring 字符存储,stringObject + 0x00,stringObject + 0x00,16 字节内联区或 ptr64,capacity 小于 8 时从对象本身读 UTF-16；否则先解引用此处的字符指针。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,10238,,
17 内联子偏移、数组布局与动态解析,MSVC wstring 长度,stringObject + 0x10,stringObject + 0x10,uint64,字符数；代码读取上限 256。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,10221,,
17 内联子偏移、数组布局与动态解析,MSVC wstring 容量,stringObject + 0x18,stringObject + 0x18,uint64,以 8 为内联/堆字符串分界；容量保护上限 0x100000。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,10222,,
17 内联子偏移、数组布局与动态解析,物品静态索引数量,GameBase + 0xD7542C,GameBase + 0xD7542C,uint32,ItemStaticIndexRva + 0x04；索引头为直接内嵌结构。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,10344,,
17 内联子偏移、数组布局与动态解析,物品静态索引 entries,GameBase + 0xD75438,GameBase + 0xD75438,ptr64,ItemStaticIndexRva + 0x10；解引用为排序的 entry 数组。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,10347,,
17 内联子偏移、数组布局与动态解析,物品静态索引 key,entry + 0x00,entry + 0x00,uint32,TemplateId 二分查找键，entry 步长 0x10。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,10359,,
17 内联子偏移、数组布局与动态解析,压缩块 compressedSize,chunkPointer + 0x00,chunkPointer + 0x00,uint32,压缩长度。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,10403,,
17 内联子偏移、数组布局与动态解析,压缩块 uncompressedSize,chunkPointer + 0x04,chunkPointer + 0x04,uint32,解压长度。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,10404,,
17 内联子偏移、数组布局与动态解析,压缩块数据,chunkPointer + 0x08,chunkPointer + 0x08,byte[compressedSize],zlib 数据；当前解码去掉 2 字节头和 4 字节尾，再以 Deflate 解压。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,10409,,
17 内联子偏移、数组布局与动态解析,背包 Rect X,DlgInventory + 0x58,DlgInventory + 0x58,float64,默认 Rect 的第 0 项。实验路径则相对动态 rectAddress + 0。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,9811,,
17 内联子偏移、数组布局与动态解析,背包 Rect Y,DlgInventory + 0x60,DlgInventory + 0x60,float64,默认 Rect 的第 1 项。实验路径相对 rectAddress + 8。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,9812,,
17 内联子偏移、数组布局与动态解析,背包 Rect 宽,DlgInventory + 0x68,DlgInventory + 0x68,float64,默认 Rect 的第 2 项。实验路径相对 rectAddress + 0x10。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,9813,,
17 内联子偏移、数组布局与动态解析,背包 Rect 高,DlgInventory + 0x70,DlgInventory + 0x70,float64,默认 Rect 的第 3 项。实验路径相对 rectAddress + 0x18。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,9814,,
17 内联子偏移、数组布局与动态解析,战术标记槽地址,GameBase + 0xD668E0 + i * 4,GameBase + 0xD668E0 + i * 4,uint32[16],i 为 0 到 15，一次读取 64 字节；保存 ServerObjectId，0 表示空。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,2615,,
17 内联子偏移、数组布局与动态解析,已装备物品槽地址,InventoryManager + 0x790 + i * 4,InventoryManager + 0x790 + i * 4,uint32[32],i 为 0 到 31；每槽保存物品 InstanceId。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,4912,,
17 内联子偏移、数组布局与动态解析,UI 对话框槽地址,GameBase + 0xD639A0 + dialogId * 8,GameBase + 0xD639A0 + dialogId * 8,ptr64,背包 27/28，普通丢弃 336 到 355，特殊丢弃 356 到 365；范围包含端点。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,3466,,
17 内联子偏移、数组布局与动态解析,静态压缩块槽地址,GameBase + 0xD4E500 + chunkIndex * 8,GameBase + 0xD4E500 + chunkIndex * 8,ptr64,数组基址直接加索引后读取指针；chunkIndex 来自 packed handle。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,10401,,
17 内联子偏移、数组布局与动态解析,对象虚表指针,CEntity / EntitySystem / DlgInventory + 0x00,CEntity / EntitySystem / DlgInventory + 0x00,ptr64,对象头解引用获得 vtable；再读取对应 vfunc 槽。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,8844,,
